source_name,source_number,permit_number,permit_type,permit_type2,line1_addr,city_text,zip_cd,latitude,longitude
Oregon Door Company,10-0008,10-0008-SI-01,SI,SI,477 DILLARD GARDENS RD,DILLARD,97432,43.109,-123.4152
Roseburg Forest Products Co.,10-0025,10-0025-TV-01,TV,TV,Old Hwy 99S,DILLARD,97432,42.9356,-123.3996
Umpqua Lumber Co.,10-0027,10-0027-ST-01,ST,ST,4346 ROBERTS MTN RD,DILLARD,97432,43.0833,-123.3667
"Diversified Wood Resources, LLC",10-0004,10-0004-10-01,10,G3,566 APPLEGATE AVE,DRAIN,97435,43.655,-123.3133
"Moman Lumber, Inc.",10-0038,10-0038-10-01,10,G3,166 LAUREL HILLS DR.,DRAIN,97435,43.6785,-123.3007
"Emerald Forest Products, Inc.",10-0054,10-0054-TV-01,TV,TV,649 FIR ST,DRAIN,97435,43.6585,-123.3228
Dankar LLC,10-0231,10-0231-22-01,22,G5,139 N. CEDAR STREET,DRAIN,97435,43.6622,-123.3183
"M & W Fiberglass, Inc.",36-0041,36-0041-SI-01,SI,SI,20929 NE NIEDERBERGER ROAD,DUNDEE,97115,45.274,-123.0463
"Youssef, Inc.",36-9526,36-9526-22-01,22,G5,109 N. HIGHWAY 99W,DUNDEE,97115,45.2557,-123.0347
Ash Grove Cement Company,01-0029,01-0029-TV-01,TV,TV,33060 SHIRTTAIL CREEK RD,DURKEE,97905,44.5428,-117.4218
Eagle Foundry Co.,44286.00,03-2631-ST-01,ST,ST,23123 SE EAGLE CREEK RD,EAGLE CREEK,97022,45.3552,-122.3539
"Eagle Creek Rock Products, LLC",24898.00,03-2668-08-01,Jan-00,G2,25375 SE TALON RD,EAGLE CREEK,97022,45.3403,-122.3521
"Delta Mini Mart, Inc.",26724.00,03-9573-23-01,Jan-00,G4,29629 SE HWY 224,EAGLE CREEK,97022,45.358,-122.3587
NW Ventures LLC dba Eagle Point Arco,15-0092,15-0092-22-01,22,G5,10668 HIGHWAY 62,EAGLE POINT,97524,42.4665,-122.8124
"Boise Cascade Wood Products, L.L.C.",31-0006,31-0006-TV-01,TV,TV,90 S 21ST AVE,ELGIN,97827-9614,45.5641,-117.9353
Henderson Fuel Company,31-0019,31-0019-22-01,22,G5,2075 PUBLIC ST,ELGIN,97827,45.5652,-117.9313
Byrnes Investment LLC,31-9522,31-9522-22-01,22,G5,8TH & ALBANY,ELGIN,97827,45.5656,-117.9172
XRAM LLC,10-0200,10-0200-22-01,22,G5,14940 STATE HIGHWAY 38,ELKTON,97436,43.6364,-123.5661
"Davis Body Shop, Inc.",32-0002,32-0002-27-01,27,G1,327 GOLF COURSE ROAD,ENTERPRISE,97828,45.4298,-117.2879
"Neil's Body Shop, Inc.",32-0004,32-0004-27-01,27,G1,506 NW 1ST ST,ENTERPRISE,97828-1009,45.4293,-117.279
"Stangel Industries, LLC",32-0005,32-0005-27-01,27,G1,401 NE 4TH ST,ENTERPRISE,97828-1506,45.4311,-117.2719
Henderson Fuel Company,32-0006,32-0006-22-01,22,G5,317 GOLF COURSE RD,ENTERPRISE,97828,45.4288,-117.2873
Enterprise Chevron LLC,32-0008,32-0008-22-01,22,G5,111 NW 1ST,ENTERPRISE,97828,45.4262,-117.2785
"Advanced Auto 4X4, Inc.",32-0013,32-0013-22-01,22,G5,103 E GRANT ST,ENTERPRISE,97828-1314,45.4238,-117.2778
Wallowa County,32-0017,32-0017-07-01,7,G3,67973 LEWISTON HWY,ENTERPRISE,97828,45.4821,-117.2746
Wallowa County Grain Growers,32-0023,32-0023-17-01,17,G1,107 FISH HATCHERY LN,ENTERPRISE,97828,45.4182,-117.2778
Wallowa County Grain Growers,32-0025,32-0025-22-01,22,G5,911 S RIVER ST,ENTERPRISE,97828-1677,45.42,-117.2772
"Hardchrome, Inc.",03-0013,03-0013-01-01,1,G3,1152 NW COMMERCE CT,Estacada,97023,45.3121,-122.3477
"Glacier Northwest, Inc",03-0034,03-0034-09-01,9,G1,29400 SE RIVER MILL ROAD,ESTACADA,97023,45.3028,-122.3553
"Estacada Rock Products, Inc.",12479.00,03-1934-08-01,Jan-00,G2,29400 RIVER MILL RD,ESTACADA,97023,45.3037,-122.3597
Leathers Enterprises Inc.,17227.00,03-9547-23-01,Jan-00,G4,605 W WADE ST,ESTACADA,97023-9717,45.2948,-122.3377
Petrocard Inc.,23071.00,03-9563-22-01,Jan-00,G5,512 SE CURRIN,ESTACADA,97023,45.2856,-122.333
"Toor Food Market, Inc.",44256.00,03-9601-23-01,Jan-00,G4,486 SE MAIN ST,ESTACADA,97023,45.2859,-122.3339
"APRO, LLC",44281.00,03-9626-23-01,Jan-00,G4,376 SE MAIN ST,ESTACADA,97023,45.287,-122.3333
"Marc Nelson Oil Products, Inc.",18688.00,03-9651-22-01,Jan-00,G5,453 SW 2ND ST,ESTACADA,97023,45.2906,-122.3372
Aaron D Vickery,26-0320,26-0320-BS-01,BS,BS,22024 NE SANDY BLVD,FAIRVIEW,97024,45.5421,-122.4366
AGC Heat Transfer Inc.,26-0394,26-0394-25-01,25,G2,3109 NE 230TH AVE,FAIRVIEW,97024,45.545,-122.4272
Cascade Corporation,26-3038,26-3038-ST-01,ST,ST,2201 NE 201ST AVE,FAIRVIEW,97024,45.5387,-122.4578
Jubitz Corporation,26-9575,26-9575-22-01,22,G5,20116 NE SANDY BLVD,FAIRVIEW,97024-9710,45.5447,-122.4554
"Jacksons Food Stores, Inc.",26-9580,26-9580-23-01,23,G4,20800 NE SANDY BLVD,FAIRVIEW,97024,45.5436,-122.4484
Reynolds School District #7,26-9677,26-9677-22-01,22,G5,20311 NE GLISAN ST,FAIRVIEW,97024-9627,45.5269,-122.4538
"Bhullar & Bhullar, LLC",26-9700,26-9700-23-01,23,G4,1605 NE 223RD AVE,FAIRVIEW,97024-2663,45.5346,-122.4341
"Westak of Oregon, Inc.",34-0097,34-0097-26-01,26,G1,3941 24TH AVE,FOREST GROVE,97116,45.5256,-123.0775
Oregon Collision Center,34-0114,34-0114-BS-01,BS,BS,1213 GALES CREEK RD,FOREST GROVE,97116-1123,45.53,-123.1273
Kramer's Auto Body & Car Stereo,34-0115,34-0115-27-01,27,G1,2632 19TH AVE,FOREST GROVE,97116-2758,45.5183,-123.1001
City of Hillsboro,34-0164,34-0164-18-01,18,G2,4475 SW FERN HILL RD,FOREST GROVE,97116-8504,45.4875,-123.0941
"Chaucer Foods, Inc.",34-0181,34-0181-BS-01,BS,BS,2238 YEW ST,FOREST GROVE,97116-2262,45.5229,-123.0733
Doherty Motor Company,34-0196,34-0196-BS-01,BS,BS,4223 PACIFIC AVENUE,FOREST GROVE,97116,45.5213,-123.0741
"Woodfold Mfg., Inc.",34-2584,34-2584-10-01,10,G3,1811 18TH ST,FOREST GROVE,97116-0346,45.5172,-123.1147
"TTM Technologies North America, LLC",34-2678,34-2678-SI-01,SI,SI,1521 POPLAR LN,FOREST GROVE,97116-2033,45.5134,-123.0814
"DMH, Inc.",34-2756,34-2756-TV-01,TV,TV,3802 & 3804 24TH AVE,FOREST GROVE,97116,45.5247,-123.0809
Shrijikrupa L.L.C.,34-9573,34-9573-23-01,23,G4,2710 19TH AVE,FOREST GROVE,97116,45.5183,-123.0993
Cain Petroleum Inc.,34-9624,34-9624-23-01,23,G4,2339 PACIFIC AVE,FOREST GROVE,97116,45.5198,-123.105
"Petrocard Systems, Inc.",34-9675,34-9675-22-01,22,G5,2711 PACIFIC AVE,FOREST GROVE,97116,45.5197,-123.099
"Fuiten-Rose & Mortuary Chapels, Inc.",34-9691,34-9691-12-01,12,G1,2308 PACIFIC AVE,FOREST GROVE,97116-2450,45.5196,-123.1065
"Fossil Fuel, Inc.",35-0001,35-0001-17-01,17,G1,750 6TH STREET,FOSSIL,97830,44.9968,-120.2128
Sheldon Oil Company,34-9520,34-9520-22-01,22,G5,55870 NW WILSON RIVER HWY,GALES CREEK,97117,45.6179,-123.2519
Northwest Hardwoods Inc,29-0011,29-0011-10-01,10,G3,202 S. 7TH ST.,GARIBALDI,97118,45.5573,-123.9153
Sheldon Oil Company,29-0083,29-0083-22-01,22,G5,701 GARIBALDI AVE.,GARIBALDI,97118,45.559,-123.9149
"Jackson & Son Distributors, Inc.",29-0096,29-0096-22-01,22,G5,511 GARIBALDI AVENUE,GARIBALDI,97118,45.559,-123.913
"Fox Lumber Sales, Inc.",34-0104,34-0104-10-01,10,G3,49800 SW SCOGGINS VALLEY RD,GASTON,97119,45.4673,-123.1881
Stimson Lumber Company,34-2066,34-2066-TV-01,TV,TV,49800 SW SCOGGINS VALLEY RD,GASTON,97119,45.4673,-123.1881
"Valley Fresh Foods, Inc.",24-0057,24-0057-12-01,12,G1,6335 ST. LOUIS RD.,GERVAIS,97026,45.1214,-122.9313
Knife River Corporation - Northwest,24-1283,24-1283-09-01,9,G1,741 MATHENY RD NE,GERVAIS,97026,45.0906,-123.034
Gilchrist Forest Products LLC,18-0005,18-0005-TV-01,TV,TV,1 SAWMILL RD,GILCHRIST,97737,43.4783,-121.691
Cain Petroleum Inc.,14305.00,03-9539-23-01,Jan-00,G4,830 E BERKELEY ST,GLADSTONE,97027,45.3829,-122.5814
Cain Petroleum Incorporated,21976.00,03-9560-23-01,Jan-00,G4,19200 SE MCLOUGHLIN BLVD,GLADSTONE,97027,45.3843,-122.6055
WOW Petroleum Inc,44277.00,03-9622-23-01,Jan-00,G4,810 E ARLINGTON ST,GLADSTONE,97027,45.3819,-122.5829
"Stein Oil Co., Inc.",44282.00,03-9627-23-01,Jan-00,G4,19805 MCLOUGHLIN BLVD,GLADSTONE,97027-2611,45.3774,-122.6011
Bright Cleaners,23437.00,03-9664-06-01,Jan-00,G6,480 PORTLAND AVE STE A,GLADSTONE,97027-2465,45.3801,-122.5945
Swanson Group Mfg. LLC,10-0045,10-0045-TV-01,TV,TV,303 MEHLWOOD LANE,GLENDALE,97442,42.7444,-123.4222
Thomas L. Schmeltz dba Cow Creek Station,10-0065,10-0065-22-01,22,G5,329 Junction Rd,Glendale,97442,42.7491,-123.3723
"Glide Store, Inc.",10-0227,10-0227-22-01,22,G5,117 N BROWN ST,GLIDE,97443-9754,43.2904,-123.0935
"AdvanTec Manufacturing USA, Inc.",08-0005,08-0005-27-01,27,G1,28336 HUNTER CREEK RD,GOLD BEACH,97444-9614,42.3783,-124.4189
"Freeman Rock, Inc.",08-0040,08-0040-BS-01,BS,BS,95437 JERRY'S FLAT RD.,GOLD BEACH,97444,42.4405,-124.3751
Everet L. Amos dba Ev's Hi-Tech Auto & Towing,08-0052,08-0052-22-01,22,G5,29719 ELLENSBURG AVE,GOLD BEACH,97444,42.4139,-124.4203
"D&J Texaco Mini Mart, Inc. dba D & J Shell",08-0053,08-0053-22-01,22,G5,29619 ELLENSBURG AVE,GOLD BEACH,97444,42.4113,-124.4205
Brian Wallace,08-0057,08-0057-22-01,22,G5,29359 ELLENSBURG AVE,GOLD BEACH,97444,42.4042,-124.4214
Ronald C. La Franchi dba Ron's Oil Company,08-0063,08-0063-22-01,22,G5,29597 ELLENSBURG AVE,GOLD BEACH,97444-8730,42.4107,-124.4205
SAC Enterprises LLC,15-0150,15-0150-22-01,22,G5,404 N 2ND AVE,GOLD HILL,97525,42.431,-123.0492
R.L.K. and Company,28185.00,03-9577-22-01,Jan-00,G5,90149 E GOVERNMENT CAMP LOOP,GOVERNMENT CAMP,97028,45.304,-121.7564
True Trail Corp.,44279.00,03-9624-22-01,Jan-00,G5,93770 E HWY 26,GOVERNMENT CAMP,97028,45.2506,-121.7106
WSCO Petroleum Corp.,27-8042,27-8042-22-01,22,G5,28600 SALMON RIVER HWY,GRAND RONDE,97347-9406,45.0584,-123.6142
Chapel Of The Valley Funeral Home Inc.,17-0003,17-0003-12-01,12,G1,2065 UPPER RIVER RD,GRANTS PASS,97526,42.4415,-123.3549
"Grants Pass Moulding, Inc.",17-0008,17-0008-10-01,10,G3,123 NE BEACON DR,GRANTS PASS,97526-3839,42.434,-123.3076
Asante Health System,17-0017,17-0017-11-01,11,G2,500 RAMSEY AVE.,GRANTS PASS,97526,42.421,-123.342
"Stephens Family Chapel, LLC",17-0028,17-0028-12-01,12,G1,1629 WILLIAMS HWY.,GRANTS PASS,97527,42.421,-123.334
"TP Grants Pass, LLC",17-0030,17-0030-TV-01,TV,TV,1090 SE M ST,GRANTS PASS,97526-3989,42.4319,-123.3087
Boersma Bros. LLC,17-0031,17-0031-16-01,16,G1,328 Tech Way,Grants Pass,97526,42.5053,-123.3675
"Metal Finishers, Inc.",17-0033,17-0033-26-01,26,G1,817 SW FOUNDRY ST,GRANTS PASS,97526-2423,42.4416,-123.3355
"NW Ventures Grants Pass, LLC dba Grants Pass Arco",17-0039,17-0039-22-01,22,G5,190 NE TERRY LN,GRANTS PASS,97526,42.4364,-123.3036
"Riverside Ready Mix, Inc.",17-0040,17-0040-09-01,9,G1,531 SE MILL ST,GRANTS PASS,97526-2340,42.4338,-123.3168
"MasterBrand Cabinets, Inc.",17-0046,17-0046-TV-01,TV,TV,550 SE MILL ST,GRANTS PASS,97526-2341,42.4325,-123.3186
Lil Pantry Xpress LLC - Merlin,17-0047,17-0047-22-01,22,G5,5000 MONUMENT DR,GRANTS PASS,97526-8503,42.4942,-123.365
Gary L. Peterson,17-0053,17-0053-09-01,9,G1,910 SE M ST,GRANTS PASS,97526-3248,42.4314,-123.3173
"Oak Knoll, Inc. dba Hull & Hull Crematory",17-0062,17-0062-12-01,12,G1,612 NW A ST,GRANTS PASS,97526,45.1333,-124.2719
Lil Pantry LLC - North Grants Pass,17-0064,17-0064-22-01,22,G5,2017 NW Vine Street,GRANTS PASS,97526,42.4624,-123.3236
"Rendata Industrial Park, L.L.C.",17-0076,17-0076-08-01,8,G2,700 MERLIN RD,GRANTS PASS,97526-9112,42.5072,-123.4008
R. W. Hays Co.,17-0077,17-0077-17-01,17,G1,529 NE 'F' ST,GRANTS PASS,97526,42.4381,-123.3204
U-Save Gas and Tackle LLC,17-0080,17-0080-22-01,22,G5,935 ROGUE RIVER HWY,GRANTS PASS,97527-5287,42.425,-123.2798
TRMC Retail LLC,17-0082,17-0082-22-01,22,G5,1618 Allen Creek Rd,Grants Pass,97527,42.4207,-123.3516
TRMC Retail LLC,17-0083,17-0083-22-01,22,G5,1094 NE E STREET,GRANTS PASS,97526,42.4373,-123.3105
WSCO Petroleum Corp.,17-0084,17-0084-22-01,22,G5,324 NE E ST,GRANTS PASS,97526-2164,42.4397,-123.3233
"Colvin Oil I, LLC",17-0090,17-0090-22-01,22,G5,730 REDWOOD HWY,GRANTS PASS,97527-5530,42.4122,-123.4126
"Colvin Oil I, LLC",17-0093,17-0093-22-01,22,G5,124 NE MORGAN LN,GRANTS PASS,97526,42.4624,-123.321
"Colvin Oil I, LLC dba Fireball Gas",17-0094,17-0094-22-01,22,G5,1044 NE 6TH STREET,GRANTS PASS,97526,42.4488,-123.3228
"Colvin Oil I, LLC",17-0095,17-0095-22-01,22,G5,1553 WILLIAMS HWY,GRANTS PASS,97527-5659,42.4213,-123.3338
"Colvin Oil I, LLC",17-0096,17-0096-22-01,22,G5,650 REDWOOD HWY,GRANTS PASS,97527-5823,42.4122,-123.4127
"Colvin Oil I, LLC",17-0097,17-0097-22-01,22,G5,1995 NE 6TH ST,GRANTS PASS,97526-3401,42.4619,-123.3223
BP Products North America Inc.,17-0098,17-0098-22-01,22,G5,785 SE 7TH ST,GRANTS PASS,97526,42.4339,-123.3283
Lil' Pantry Market & Deli LLC-Grants Pass,17-0099,17-0099-22-01,22,G5,979 ROGUE RIVER HIGHWAY,GRANTS PASS,97527-5287,42.425,-123.2798
"Fred Meyer Stores, Inc. dba FM Fuel Stop",17-0101,17-0101-22-01,22,G5,1101 GRANTS PASS PKWY,GRANTS PASS,97526-2333,42.4363,-123.2989
"Colvin Oil I, LLC",17-0103,17-0103-22-01,22,G5,2520 FOOTHILL BLVD,GRANTS PASS,97526-3603,42.438,-123.2858
"Colvin Oil I, LLC",17-0105,17-0105-22-01,22,G5,104 NE MORGAN LANE,GRANTS PASS,97526,42.4624,-123.3222
Truax Corporation,17-0106,17-0106-22-01,22,G5,1820 NE 7TH,GRANTS PASS,97526,42.4594,-123.3209
"Woodbury Energy Company, Inc.",17-0109,17-0109-22-01,22,G5,505 ROGUE RIVER HWY,GRANTS PASS,97527,42.4251,-123.28
"Fairgrounds Towing and Fuel, LLC",17-0116,17-0116-22-01,22,G5,780 UNION AVE,GRANTS PASS,97527-5548,42.4221,-123.3458
"Colvin Oil I, LLC",17-0117,17-0117-22-01,22,G5,6410 WILLIAMS HWY,GRANTS PASS,97527-8791,42.3479,-123.3325
Josephine County Public Works,17-0119,17-0119-22-01,22,G5,201 RIVER HEIGHTS WAY,GRANTS PASS,97527-5432,42.4265,-123.3409
"SemiConductor Components Industries, LLC",26-0027,26-0027-ST-01,ST,ST,23400 NE GLISAN ST,GRESHAM,97030,45.5282,-122.4227
Mutual Materials Company,26-0088,26-0088-SI-02,SI,SI,2300 SE HOGAN ROAD,GRESHAM,97080-9267,45.4812,-122.412
Knife River Corporation - Northwest,26-0129,26-0129-08-01,8,G2,1339 NW EASTWOOD AVE,GRESHAM,97030,45.5074,-122.4629
"APRO, LLC",26-0163,26-0163-23-01,23,G4,2281 NE 181ST AVE,GRESHAM,97230-6924,45.54,-122.4773
Multnomah County,26-0229,26-0229-18-01,18,G2,18480 SE STARK ST,GRESHAM,97223,45.5191,-122.4728
"Graphic Packaging International, Inc.",26-0238,26-0238-SI-01,SI,SI,18683 NE SANDY BLVD,GRESHAM,97230-6807,45.5456,-122.4704
Mackin's Auto Body,26-0305,26-0305-BS-01,BS,BS,2617 SE 182ND AVENUE,GRESHAM,97030,45.5035,-122.4761
"Precision Body & Paint of Gresham, Inc.",26-0309,26-0309-BS-01,BS,BS,2515 NW ELEVEN MILE AVENUE,GRESHAM,97030,45.515,-122.4589
"Elite Collision, LLC",26-0321,26-0321-BS-01,BS,BS,1925 E POWELL BLVD,GRESHAM,97080-8047,45.4973,-122.4128
"Superior Auto Body, Inc.",26-0332,26-0332-BS-01,BS,BS,1543 SE ORIENT DR,GRESHAM,97080-7227,45.4855,-122.3966
Caliber Holdings Corporation,26-0343,26-0343-BS-01,BS,BS,2132 SE 3RD ST,GRESHAM,97080-8067,45.496,-122.4107
"Gerber Collision (Oregon), Inc.",26-0358,26-0358-BS-01,BS,BS,1661 E POWELL BLVD,GRESHAM,97030,45.498,-122.4155
Gresham Oil LLC,26-0360,26-0360-23-01,23,G4,28210 SE ORIENT DR,GRESHAM,97080,45.4714,-122.3722
"PFS Crematory, Gresham",26-3131,26-3131-12-01,12,G1,520 W BLVD POWELL,GRESHAM,97030,45.4969,-122.4353
City Of Gresham,26-3228,26-3228-SI-01,SI,SI,20015 NE SANDY BLVD,GRESHAM,97030,45.5454,-122.4587
Microchip Technology Incorporated,26-3240,26-3240-ST-01,ST,ST,21015 SE STARK ST,GRESHAM,97030-2015,45.5206,-122.4474
"Fred Meyer Stores, Inc.",26-9569,26-9569-23-01,23,G4,2497 SE BURNSIDE RD,GRESHAM,97080-1246,45.495,-122.4069
"Safeway, Inc.",26-9576,26-9576-23-01,23,G4,1103 SW HIGHLAND DR.,GRESHAM,97080,45.485,-122.4714
Leathers Enterprises Inc.,26-9581,26-9581-23-01,23,G4,1467 SE ORIENT DR,GRESHAM,97080-7227,45.4864,-122.3976
Cain Petroleum Inc.,26-9582,26-9582-23-01,23,G4,21188 STARK STREET,GRESHAM,97030,45.5191,-122.4451
BP Products North America Inc.,26-9593,26-9593-23-01,23,G4,24235 SE STARK ST STE A,GRESHAM,97030-8312,45.5194,-122.4119
"Plaid Pantries, Inc.",26-9627,26-9627-23-01,23,G4,1055 NE KANE DR,GRESHAM,97030-5935,45.505,-122.3989
"Space Age Fuel, Inc.",26-9634,26-9634-23-01,23,G4,22 NW DIVISION ST,GRESHAM,97030-5518,45.5044,-122.4313
Cain Petroleum Incorporated,26-9659,26-9659-23-01,23,G4,30 W POWELL BLVD,GRESHAM,97030,45.4976,-122.4296
Leathers Enterprises Inc.,26-9673,26-9673-23-01,23,G4,22300 SE STARK ST,GRESHAM,97030-2654,45.5189,-122.4323
Vision International Petroleum Inc,26-9683,26-9683-23-01,23,G4,50 NE BURNSIDE Road,GRESHAM,97030,45.5087,-122.4306
BP Products North America Inc.,26-9708,26-9708-23-01,23,G4,57 W POWELL BLVD SUITE A,GRESHAM,97030-7056,45.4978,-122.4318
"Marc Nelson Oil Products, Inc.",26-9726,26-9726-22-01,22,G5,150 NE HOGAN RD,GRESHAM,97030,45.4987,-122.4139
Cain Petroleum Incorporated,26-9745,26-9745-23-01,23,G4,1820 NE DIVISION ST,GRESHAM,97030,45.5048,-122.4136
Prestige Oil LLC,26-9755,26-9755-23-01,23,G4,985 NE BURNSIDE RD,GRESHAM,97030-3925,45.5067,-122.4212
"MDC Coast 6, LLC",26-9759,26-9759-23-01,23,G4,18222 SE DIVISION ST,GRESHAM,97030-5149,45.5046,-122.4753
Cameo Cleaners,26-9798,26-9798-06-01,6,G6,732 NE 181ST AVE,GRESHAM,97230-6706,45.5287,-122.477
"Space Age Fuel, Inc.",26-9823,26-9823-23-01,23,G4,2515 E POWELL BLVD,GRESHAM,97080-1406,45.494,-122.4073
Speedy Bright Dry Cleaners,26-9826,26-9826-06-01,6,G6,578 W POWELL BLVD,GRESHAM,97030-7047,45.4971,-122.4373
Lee's One Hour Dry Cleaners,26-9835,26-9835-06-01,6,G6,60 NW DIVISION ST,GRESHAM,97030,45.5045,-122.4302
Tami's Pine Valley Funeral Home,01-0017,01-0017-BS-01,BS,BS,115 N MAIN STREET,HALFWAY,97834,44.8776,-117.1094
Scottys Hells Canyon Outdoor Supply,01-0053,01-0053-22-01,22,G5,53969 HWY. 86,HALFWAY,97834,44.8772,-117.0862
"Richland Feed & Seed, Inc.",01-0058,01-0058-22-01,22,G5,231 S MAIN STREET,HALFWAY,97834,44.8797,-117.111
Q Pioneer LLC,22-0049,22-0049-22-01,22,G5,32980 HIGHWAY 228,HALSEY,97348-9715,44.3884,-123.0653
"Cascade Pacific Pulp, LLC",22-3501,22-3501-TV-01,TV,TV,30480 AMERICAN DR,HALSEY,97348-9750,44.3827,-123.1605
"Smith Seed Services, L.L.C.",22-3525,22-3525-15-01,15,G1,26890 POWERLINE RD,HALSEY,97348,44.3738,-123.1291
Georgia-Pacific Consumer Operations LLC,22-6034,22-6034-ST-01,ST,ST,30470 AMERICAN DR,HALSEY,97348-9750,44.4034,-123.1943
"CECO, Inc.",22-8073,22-8073-22-01,22,G5,211 2ND STREET,HALSEY,97348,44.3875,-123.1098
PBK LLC,22-8074,22-8074-22-01,22,G5,33180 HIGHWAY 228,HALSEY,97348,44.3807,-123.0608
"Fred Meyer Stores, Inc.",03-0112,03-0112-23-01,23,G4,13163 SE 172ND AVE,HAPPY VALLEY,97086,45.427,-122.483
Gethsemani Crematory,03-0118,03-0118-12-02,12,G1,11666 SE Stevens Rd,Happy Valley,97086,45.4385,-122.5639
"Merritt #1, Inc.",13940.00,03-9538-23-01,Jan-00,G4,9010 SE 82ND AVE,HAPPY VALLEY,97086-3646,45.4579,-122.5789
"Fred Meyer Stores, Inc.",15401.00,03-9542-23-01,Jan-00,G4,8955 SE 82ND AVE,HAPPY VALLEY,97086-3603,45.4513,-122.5791
WSCO Petroleum Corp.,44258.00,03-9603-23-01,Jan-00,G4,12479 SE 82ND AVE,HAPPY VALLEY,97086-7720,45.4325,-122.5792
"Jacksons Food Stores, Inc.",44260.00,03-9605-23-01,Jan-00,G4,10725 SE 82ND AVE,HAPPY VALLEY,97086-7601,45.4456,-122.579
Cain Petroleum Incorporated,26-9607,26-9607-23-01,23,G4,9694 SE 82ND AVE,HAPPY VALLEY,97086-3727,45.4526,-122.5791
"CHS Inc., A Corporation of Minnesota",22-0008,22-0008-14-01,14,G1,815 S 2ND ST,HARRISBURG,97446-9662,44.2675,-123.1723
"Smucker Pelleting, LLC",22-0024,22-0024-14-01,14,G1,24023 POWERLINE RD,HARRISBURG,97446-9723,44.2958,-123.1285
Isovolta Inc.,22-0042,22-0042-SI-01,SI,SI,495 Territorial St,Harrisburg,97446-9608,44.275,-123.167
Magnum Service Inc. dba Harrisburg Station,22-0053,22-0053-22-01,22,G5,309 N 3RD ST,HARRISBURG,97446-9632,44.2739,-123.1709
"Hayworth Seed Warehouse, Inc.",22-4017,22-4017-15-01,15,G1,23460 HWY 99E,HARRISBURG,97446,44.2666,-123.1666
"Morse Bros., Inc.",22-4033,22-4033-09-01,9,G1,HWY 99E,HARRISBURG,97446,44.3666,-123.1747
"Eagle Veneer, Inc.",22-6031,22-6031-10-01,10,G3,450 LA SALLE ST,HARRISBURG,97446,44.2677,-123.1633
"Forest River, Inc.",22-8043,22-8043-SI-01,SI,SI,30725 DIAMOND HILL DR,HARRISBURG,97446-9782,44.284,-123.1473
"Diamond RB, LLC",22-8052,22-8052-BS-01,BS,BS,32351 DIAMOND HILL DR,HARRISBURG,97446-9738,44.2799,-123.0809
"Woodbury Energy Company, Inc.",22-8059,22-8059-22-01,22,G5,560 LASALLE ST,HARRISBURG,97446,44.268,-123.168
Miller Manufacturing,25-0009,25-0009-29-01,29,G4,54182 HWY. 74,HEPPNER,97836,45.3781,-119.5856
Devin Oil Co. Inc.,25-0049,25-0049-17-01,17,G1,733 W RIVERSIDE AVE,HEPPNER,97836,45.3653,-119.5636
Devin Oil Co. Inc.,25-0054,25-0054-22-01,22,G5,329 N. MAIN,HEPPNER,97836,45.3559,-119.5541
"CMH Manufacturing West, Inc.",30-0008,30-0008-SI-01,SI,SI,400 W ELM AVE,HERMISTON,97838-1021,45.8511,-119.2944
"St. Hilaire Brothers Hermiston Farm, LLC",30-0018,30-0018-SI-01,SI,SI,84186 HIGHWAY 37,HERMISTON,97838,45.9082,-119.1002
HS Petroleum Inc,30-0049,30-0049-22-01,22,G5,2398 N 1ST ST,HERMISTON,97838-1182,45.8632,-119.2909
"Amazon Data Services, Inc.",30-0054,30-0054-ST-01,ST,ST,28803 LIVESTOCK RD.,HERMISTON,97838,45.7995,-119.3648
"Amazon Data Services, Inc.",30-0071,30-0071-ST-01,ST,ST,81712 LIND RD.,HERMISTON,97838,45.9005,-119.3085
"Lamb Weston, Inc.",30-0075,30-0075-ST-01,ST,ST,78153 WESTLAND RD,HERMISTON,97838,45.8044,-119.3688
"Umatilla Ready Mix, Inc.",30-0088,30-0088-09-01,9,G1,460 W ELM,HERMISTON,97838,45.8833,-119.3033
"PGG/HSC Feed Company, L.L.C.",30-0105,30-0105-14-01,14,G1,300 W FEEDVILLE ROAD,HERMISTON,97838,45.8063,-119.291
"Hermiston Generating Company, L.P.",30-0113,30-0113-TV-01,TV,TV,78145 WESTLAND RD.,HERMISTON,97838,45.7949,-119.3748
Hermiston Power LLC,30-0118,30-0118-TV-01,TV,TV,78910 SIMPLOT ROAD,HERMISTON,97838,45.7916,-119.3122
Burns Mortuary Of Hermiston,30-0120,30-0120-12-01,12,G1,685 HERMISTON AVENUE,HERMISTON,97838,45.8409,-119.302
"Pioneer Hi-Bred International, Inc.",30-9503,30-9503-SI-01,SI,SI,2212 SE 9TH ST.,HERMISTON,97838,45.8155,-119.2769
"Mid Columbia Producers, Inc.",30-9509,30-9509-17-01,17,G1,300 W FEEDVILLE RD,HERMISTON,97838-9573,45.8316,-119.3208
"Heller & Sons Distributing, Inc.",30-9511,30-9511-17-01,17,G1,30 W CATHERINE AVE.,HERMISTON,97838,45.8444,-119.291
Anant Pacific LLC,30-9516,30-9516-22-01,22,G5,1580 W HIGHLAND DRIVE,HERMISTON,97838,45.8359,-119.3167
Phipps Chevron,30-9518,30-9518-22-01,22,G5,200 N FIRST STREET,HERMISTON,97838,45.8419,-119.29
